股票代码,证券代码(市场后缀),股票名称,交易日期,龙虎榜解读,收盘价(元),涨跌幅(%),龙虎榜净买额(元),龙虎榜买入额(元),龙虎榜卖出额(元),龙虎榜成交额(元),市场总成交额(元),净买额占总成交比(%),龙虎榜成交额占总成交比(%),换手率(%),流通市值(元),上榜原因,1日后涨跌幅(%),2日后涨跌幅(%),5日后涨跌幅(%),10日后涨跌幅(%),证券类型代码,原始字段
000533,000533.SZ,顺钠股份,2026-03-05 00:00:00,主力做T，成功率46.05%,13.53,10.0,240078710.94,346093718.11,106015007.17,452108725.28,809959507.0,29.6408,55.8187,1.1664,9266729472.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,,058001001,"{'SECURITY_CODE': '000533', 'SECUCODE': '000533.SZ', 'SECURITY_NAME_ABBR': '顺钠股份', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '主力做T，成功率46.05%', 'CLOSE_PRICE': 13.53, 'CHANGE_RATE': 10, 'BILLBOARD_NET_AMT': 240078710.94, 'BILLBOARD_BUY_AMT': 346093718.11, 'BILLBOARD_SELL_AMT': 106015007.17, 'BILLBOARD_DEAL_AMT': 452108725.28, 'ACCUM_AMOUNT': 809959507, 'DEAL_NET_RATIO': 29.640828814915, 'DEAL_AMOUNT_RATIO': 55.818682461616, 'TURNOVERRATE': 1.1664, 'FREE_MARKET_CAP': 9266729472, 'EXPLANATION': '连续三个交易日内，涨幅偏离值累计达到20%的证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
000554,000554.SZ,泰山石油,2026-03-05 00:00:00,3家机构卖出，成功率8.47%,10.89,-6.2823,-63136735.47,124788332.17,187925067.64,312713399.81,1371670597.0,-4.6029,22.798,34.3737,3949293315.33,日换手率达到20%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '000554', 'SECUCODE': '000554.SZ', 'SECURITY_NAME_ABBR': '泰山石油', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '3家机构卖出，成功率8.47%', 'CLOSE_PRICE': 10.89, 'CHANGE_RATE': -6.2823, 'BILLBOARD_NET_AMT': -63136735.47, 'BILLBOARD_BUY_AMT': 124788332.17, 'BILLBOARD_SELL_AMT': 187925067.64, 'BILLBOARD_DEAL_AMT': 312713399.81, 'ACCUM_AMOUNT': 1371670597, 'DEAL_NET_RATIO': -4.602907987391, 'DEAL_AMOUNT_RATIO': 22.797995414784, 'TURNOVERRATE': 34.3737, 'FREE_MARKET_CAP': 3949293315.33, 'EXPLANATION': '日换手率达到20%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
000815,000815.SZ,美利云,2026-03-05 00:00:00,主力做T，成功率53.03%,14.83,10.0148,143051351.17,242592243.19,99540892.02,342133135.21,1551498251.0,9.2202,22.0518,15.4161,10310750809.05,日涨幅偏离值达到7%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '000815', 'SECUCODE': '000815.SZ', 'SECURITY_NAME_ABBR': '美利云', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '主力做T，成功率53.03%', 'CLOSE_PRICE': 14.83, 'CHANGE_RATE': 10.0148, 'BILLBOARD_NET_AMT': 143051351.17, 'BILLBOARD_BUY_AMT': 242592243.19, 'BILLBOARD_SELL_AMT': 99540892.02, 'BILLBOARD_DEAL_AMT': 342133135.21, 'ACCUM_AMOUNT': 1551498251, 'DEAL_NET_RATIO': 9.220207053266, 'DEAL_AMOUNT_RATIO': 22.051789938499, 'TURNOVERRATE': 15.4161, 'FREE_MARKET_CAP': 10310750809.05, 'EXPLANATION': '日涨幅偏离值达到7%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
000890,000890.SZ,法尔胜,2026-03-05 00:00:00,3家机构买入，成功率12.80%,9.15,3.1567,-33043101.29,165837536.08,198880637.37,364718173.45,1345545072.0,-2.4557,27.1056,34.8602,3838343070.9,日换手率达到20%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '000890', 'SECUCODE': '000890.SZ', 'SECURITY_NAME_ABBR': '法尔胜', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '3家机构买入，成功率12.80%', 'CLOSE_PRICE': 9.15, 'CHANGE_RATE': 3.1567, 'BILLBOARD_NET_AMT': -33043101.29, 'BILLBOARD_BUY_AMT': 165837536.08, 'BILLBOARD_SELL_AMT': 198880637.37, 'BILLBOARD_DEAL_AMT': 364718173.45, 'ACCUM_AMOUNT': 1345545072, 'DEAL_NET_RATIO': -2.455740946744, 'DEAL_AMOUNT_RATIO': 27.105608057253, 'TURNOVERRATE': 34.8602, 'FREE_MARKET_CAP': 3838343070.9, 'EXPLANATION': '日换手率达到20%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
001209,001209.SZ,洪兴股份,2026-03-05 00:00:00,2家机构卖出，成功率30.64%,21.49,-9.3631,-11832776.44,28041073.0,39873849.44,67914922.44,407132679.0,-2.9064,16.6813,19.5073,2065073727.64,日跌幅偏离值达到7%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '001209', 'SECUCODE': '001209.SZ', 'SECURITY_NAME_ABBR': '洪兴股份', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '2家机构卖出，成功率30.64%', 'CLOSE_PRICE': 21.49, 'CHANGE_RATE': -9.3631, 'BILLBOARD_NET_AMT': -11832776.44, 'BILLBOARD_BUY_AMT': 28041073, 'BILLBOARD_SELL_AMT': 39873849.44, 'BILLBOARD_DEAL_AMT': 67914922.44, 'ACCUM_AMOUNT': 407132679, 'DEAL_NET_RATIO': -2.906368623876, 'DEAL_AMOUNT_RATIO': 16.681275157478, 'TURNOVERRATE': 19.5073, 'FREE_MARKET_CAP': 2065073727.64, 'EXPLANATION': '日跌幅偏离值达到7%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
001225,001225.SZ,和泰机电,2026-03-05 00:00:00,4家机构卖出，成功率37.14%,59.05,-6.6698,-4822916.01,122111320.99,126934237.0,249045557.99,533766485.0,-0.9036,46.6581,20.7845,1242339545.65,连续三个交易日内，跌幅偏离值累计达到20%的证券,,,,,058001001,"{'SECURITY_CODE': '001225', 'SECUCODE': '001225.SZ', 'SECURITY_NAME_ABBR': '和泰机电', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '4家机构卖出，成功率37.14%', 'CLOSE_PRICE': 59.05, 'CHANGE_RATE': -6.6698, 'BILLBOARD_NET_AMT': -4822916.01000001, 'BILLBOARD_BUY_AMT': 122111320.99, 'BILLBOARD_SELL_AMT': 126934237, 'BILLBOARD_DEAL_AMT': 249045557.99, 'ACCUM_AMOUNT': 533766485, 'DEAL_NET_RATIO': -0.903562914783, 'DEAL_AMOUNT_RATIO': 46.658148270587, 'TURNOVERRATE': 20.7845, 'FREE_MARKET_CAP': 1242339545.65, 'EXPLANATION': '连续三个交易日内，跌幅偏离值累计达到20%的证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
001267,001267.SZ,汇绿生态,2026-03-05 00:00:00,1家机构买入，成功率29.98%,36.96,10.0,-117703236.76,494478746.6,612181983.36,1106660729.96,2964627721.0,-3.9703,37.3288,13.7405,22403647284.48,日涨幅偏离值达到7%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '001267', 'SECUCODE': '001267.SZ', 'SECURITY_NAME_ABBR': '汇绿生态', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '1家机构买入，成功率29.98%', 'CLOSE_PRICE': 36.96, 'CHANGE_RATE': 10, 'BILLBOARD_NET_AMT': -117703236.76, 'BILLBOARD_BUY_AMT': 494478746.6, 'BILLBOARD_SELL_AMT': 612181983.36, 'BILLBOARD_DEAL_AMT': 1106660729.96, 'ACCUM_AMOUNT': 2964627721, 'DEAL_NET_RATIO': -3.970253530528, 'DEAL_AMOUNT_RATIO': 37.328826217233, 'TURNOVERRATE': 13.7405, 'FREE_MARKET_CAP': 22403647284.48, 'EXPLANATION': '日涨幅偏离值达到7%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
002041,002041.SZ,登海种业,2026-03-05 00:00:00,2家机构卖出，成功率26.44%,11.15,-9.4232,-34604519.55,112156177.75,146760697.3,258916875.05,912606383.0,-3.7918,28.3711,9.2088,9812000000.0,日跌幅偏离值达到7%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '002041', 'SECUCODE': '002041.SZ', 'SECURITY_NAME_ABBR': '登海种业', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '2家机构卖出，成功率26.44%', 'CLOSE_PRICE': 11.15, 'CHANGE_RATE': -9.4232, 'BILLBOARD_NET_AMT': -34604519.55, 'BILLBOARD_BUY_AMT': 112156177.75, 'BILLBOARD_SELL_AMT': 146760697.3, 'BILLBOARD_DEAL_AMT': 258916875.05, 'ACCUM_AMOUNT': 912606383, 'DEAL_NET_RATIO': -3.791834047472, 'DEAL_AMOUNT_RATIO': 28.371144435662, 'TURNOVERRATE': 9.2088, 'FREE_MARKET_CAP': 9812000000, 'EXPLANATION': '日跌幅偏离值达到7%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
002112,002112.SZ,三变科技,2026-03-05 00:00:00,4家机构买入，成功率36.72%,24.31,4.5142,-129203341.9,208182478.98,337385820.88,545568299.86,2149133137.0,-6.0119,25.3855,33.7786,6371153860.5,日换手率达到20%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '002112', 'SECUCODE': '002112.SZ', 'SECURITY_NAME_ABBR': '三变科技', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '4家机构买入，成功率36.72%', 'CLOSE_PRICE': 24.31, 'CHANGE_RATE': 4.5142, 'BILLBOARD_NET_AMT': -129203341.9, 'BILLBOARD_BUY_AMT': 208182478.98, 'BILLBOARD_SELL_AMT': 337385820.88, 'BILLBOARD_DEAL_AMT': 545568299.86, 'ACCUM_AMOUNT': 2149133137, 'DEAL_NET_RATIO': -6.011881705959, 'DEAL_AMOUNT_RATIO': 25.385504995822, 'TURNOVERRATE': 33.7786, 'FREE_MARKET_CAP': 6371153860.5, 'EXPLANATION': '日换手率达到20%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
002195,002195.SZ,岩山科技,2026-03-05 00:00:00,1家机构买入，成功率48.45%,10.69,9.9794,1052935974.4,1449671161.25,396735186.85,1846406348.1,8092558591.0,13.0112,22.8161,13.8113,59877487701.28,日涨幅偏离值达到7%的前5只证券,,,,,058001001,"{'SECURITY_CODE': '002195', 'SECUCODE': '002195.SZ', 'SECURITY_NAME_ABBR': '岩山科技', 'TRADE_DATE': '2026-03-05 00:00:00', 'EXPLAIN': '1家机构买入，成功率48.45%', 'CLOSE_PRICE': 10.69, 'CHANGE_RATE': 9.9794, 'BILLBOARD_NET_AMT': 1052935974.4, 'BILLBOARD_BUY_AMT': 1449671161.25, 'BILLBOARD_SELL_AMT': 396735186.85, 'BILLBOARD_DEAL_AMT': 1846406348.1, 'ACCUM_AMOUNT': 8092558591, 'DEAL_NET_RATIO': 13.011162817789, 'DEAL_AMOUNT_RATIO': 22.816101080238, 'TURNOVERRATE': 13.8113, 'FREE_MARKET_CAP': 59877487701.28, 'EXPLANATION': '日涨幅偏离值达到7%的前5只证券', 'D1_CLOSE_ADJCHRATE': None, 'D2_CLOSE_ADJCHRATE': None, 'D5_CLOSE_ADJCHRATE': None, 'D10_CLOSE_ADJCHRATE': None, 'SECURITY_TYPE_CODE': '058001001'}"
